MCC,Description,Required Abbreviation (Payment Brand) M,Required Abbreviation (Payment Brand) V,Valid Payment Brand(s)
0742,Veterinary Services,,,"V, M"
0763,Agricultural Cooperatives,,,"V, M"
0780,Horticultural and Landscaping Services,,,"V, M"
1520,General Contractors–Residential and Commercial,,,"V, M"
1711,"Air Conditioning, Heating and Plumbing Contractors",,,"V, M"
1731,Electrical Contractors,,,"V, M"
1740,"Insulation, Masonry, Plastering, Stonework and Tile Setting Contractors",,,"V, M"
1750,Carpentry Contractors,,,"V, M"
1761,"Roofing and Siding, Sheet Metal Work Contractors",,,"V, M"
1771,Concrete Work Contractors,,,"V, M"
1799,"Contractors, Special Trade Contractors–not elsewhere classified",,,"V, M"
2741,Miscellaneous Publishing and Printing,,,"V, M"
2791,"Typesetting, Plate Making and Related Services",,,"V, M"
2842,"Sanitation, Polishing and Specialty Cleaning Preparations",,,"V, M"
3000,United Airlines,UNITED,UNITED AIR,"V, M"
3001,American Airlines,AMERICAN,AMERICAN AIR,"V, M"
3002,Pan American,PAN A,PAN AM AIR,"V, M"
3003,Eurofly,EUROFLY,EUROFLY AIR,"V, M"
3004,Dragon Airlines,DRAGONAIR,DRAGONAIR,"V, M"
3005,British Airways,BRITISH A,BRITISH AWYS,"V, M"
3006,Japan Air Lines,JAL,JAL AIRLINE,"V, M"
3007,Air France,AIR FRAN,AIR FRANCE,"V, M"
3008,Lufthansa German Airlines,LUFTHAN,LUFTHANSA,"V, M"
3009,Air Canada,AIR CAN,AIR CANADA,"V, M"
3010,Royal Dutch Airlines (KLM Airlines),KL,KLM AIRLINE,"V, M"
3011,Aeroflot,AEROFLOT,AEROFLOT,"V, M"
3012,Qantas,QANTAS,QANTAS AIR,"V, M"
3013,Alitalia,ALITALIA,ALITALIA,"V, M"
3014,Saudi Arabian Airlines,SAUDI AI,SAUDI AIR,"V, M"
3015,Swiss International Air Lines,SWISS,SWISSINTAIR,"V, M"
3016,Scandinavian Airline System (SAS),SAS,SAS,"V, M"
3017,South African Airways,SAFRICAN,SAA AIRWAYS,"V, M"
3018,Varig,VARIG,VARIG,"V, M"
3019,Germanwings,GRMNWNGSAIR,GRMNWNGSAIR,TSYS
3020,Air India,AIR-INDI,AIR-INDIA,"V, M"
3021,Air Algerie,AIRALGER,AIR ALGERIE,"V, M"
3022,Philippine Airlines,PAL AIR,PAL AIR,"V, M"
3023,Mexicana,MEXICANA,MEXICANA,"V, M"
3024,Pakistan International,PAKISTAN,PAKISTAN AIR,"V, M"
3025,Air New Zealand Ltd. International,AIR NZ,AIR NZ,"V, M"
3026,Emirates Airlines,EMIRATES,EMIRATES,"V, M"
3027,Union De Transports Aeriens (UTA/interair),UTAAIR,UTA AIRLINE,"V, M"
3028,Air Malta,AIRMALTA,AIR MALTA,"V, M"
3029,SN Brussels Airlines,SNBRU AIR,SNBRSSLSAIR,"V, M"
3030,Aerolineas Argentinas,AERO ARG,AERO ARGENT,"V, M"
3031,Olympic Airways,OLYMPICA,OLYMPIC AIR,"V, M"
3032,El Al,EL AL,EL AL,"V, M"
3033,Ansett Airlines,ANSETT,ANSETT AIR,"V, M"
3034,Etihadair,ETIHADAIR,ETIHADAIR,"V, M"
3035,TAP Air Portugal (TAP),TAP,TAP AIR,"V, M"
3036,Viacao Aerea Sao Pãulo (VASP),VASP,VASP AIR,"V, M"
3037,Egyptair,EGYPTAIR,EGYPTAIR,"V, M"
3038,Kuwait Airways,KUWAIT,KUWAIT AIR,"V, M"
3039,Avianca,AVIANCA,AVIANCA,"V, M"
3040,Gulf Air (Bahrain),GULF AIR,GULF AIR,"V, M"
3041,Balkan-Bulgarian Airlines,BALKAN,BALKAN AIR,"V, M"
3042,Finnair,FINNAIR,FINNAIR,"V, M"
3043,Aer Lingus,AERLING,AER LINGUS,"V, M"
3044,Air Lanka,AIR LANKA,AIR LANKA,"V, M"
3045,Nigeria Airways,NIGERIA,NIGERIA AIR,"V, M"
3046,Cruzeiro Do Sul,CRUZIERO,CRUZIERO AIR,"V, M"
3047,Turk Hava Yollari,THY,THY AIRLINE,"V, M"
3048,Royal Air Maroc,AIRMARO,AIR MAROC,"V, M"
3049,Tunis Air,TUNIS AI,TUNIS AIR,"V, M"
3050,Icelandair,ICELANDA,ICELANDAIR,"V, M"
3051,Austrian Airlines,AUSTRIAN,AUSTRIAN AIR,"V, M"
3052,LAN Airlines,LAN AIR,LAN AIR,"V, M"
3053,Aviacion Y Comercio (AVIACO),AVIACO,AVIACO AIR,"V, M"
3054,Linea Aerea Del Cobre (LADECO),LADECO,LADECO AIR,"V, M"
3055,Lloyd Aero Boliviano (LAB),LAB,LAB AIR,"V, M"
3056,Jet Airways,JET AIR,JET AIR,"V, M"
3057,Virgin America,VIR AMER,VIR AMER,"V, M"
