MCC,Description,Required Abbreviation (Payment Brand) M,Required Abbreviation (Payment Brand) V,Valid Payment Brand(s)
0742,Ветеринарні послуги,,,"V, M"
0763,Сільськогосподарські кооперативи,,,"V, M"
0780,Служби садівництва та озеленення,,,"V, M"
1520,Загальні підрядники - житлові та комерційні,,,"V, M"
1711,"Підрядники з кондиціонування повітря, нагрівання та сантехніки",,,"V, M"
1731,Підрядники з електрики,,,"V, M"
1740,"Ізоляція, кладка, штукатурка, кам'яна кладка та підрядники з встановлення плитки",,,"V, M"
1750,Столярні підрядники,,,"V, M"
1761,"Покрівля та сайдинг, підрядники з листового металу",,,"V, M"
1771,Підрядники з бетонних робіт,,,"V, M"
1799,"Підрядники, спеціальні торговельні підрядники",,,"V, M"
2741,Різне видавництво та друк,,,"V, M"
2791,"Текстовий набір, виготовлення табличок та пов'язані з цим послуги",,,"V, M"
2842,"Санітарія, полірування та спеціальні підготовки до чищення",,,"V, M"
3000,United Airlines,UNITED,UNITED AIR,"V, M"
3001,American Airlines,AMERICAN,AMERICAN AIR,"V, M"
3002,Pan American,PAN A,PAN AM AIR,"V, M"
3003,Eurofly,EUROFLY,EUROFLY AIR,"V, M"
3004,Dragon Airlines,DRAGONAIR,DRAGONAIR,"V, M"
3005,British Airways,BRITISH A,BRITISH AWYS,"V, M"
3006,Japan Air Lines,JAL,JAL AIRLINE,"V, M"
3007,Air France,AIR FRAN,AIR FRANCE,"V, M"
3008,Lufthansa German Airlines,LUFTHAN,LUFTHANSA,"V, M"
3009,Air Canada,AIR CAN,AIR CANADA,"V, M"
3010,Royal Dutch Airlines (KLM Airlines),KL,KLM AIRLINE,"V, M"
3011,Aeroflot,AEROFLOT,AEROFLOT,"V, M"
3012,Qantas,QANTAS,QANTAS AIR,"V, M"
3013,Alitalia,ALITALIA,ALITALIA,"V, M"
3014,Saudi Arabian Airlines,SAUDI AI,SAUDI AIR,"V, M"
3015,Swiss International Air Lines,SWISS,SWISSINTAIR,"V, M"
